#   x       y(x)            y(x)^2       classical p(x)      V
 -6.000  1.34526206e-10  1.80973000e-20  0.00000000e+00   18.000000
 -5.999  2.69057120e-10  7.23917336e-20  0.00000000e+00   17.994001
 -5.998  4.03597447e-10  1.62890899e-19  0.00000000e+00   17.988002
 -5.997  5.38151890e-10  2.89607457e-19  0.00000000e+00   17.982004
 -5.996  6.72725149e-10  4.52559127e-19  0.00000000e+00   17.976008
 -5.995  8.07321921e-10  6.51768685e-19  0.00000000e+00   17.970012
 -5.994  9.41946901e-10  8.87263964e-19  0.00000000e+00   17.964018
 -5.993  1.07660478e-09  1.15907785e-18  0.00000000e+00   17.958025
 -5.992  1.21130025e-09  1.46724830e-18  0.00000000e+00   17.952032
 -5.991  1.34603800e-09  1.81181830e-18  0.00000000e+00   17.946041
 -5.990  1.48082272e-09  2.19283592e-18  0.00000000e+00   17.940050
 -5.989  1.61565908e-09  2.61035427e-18  0.00000000e+00   17.934060
 -5.988  1.75055178e-09  3.06443155e-18  0.00000000e+00   17.928072
 -5.987  1.88550550e-09  3.55513101e-18  0.00000000e+00   17.922085
 -5.986  2.02052492e-09  4.08252096e-18  0.00000000e+00   17.916098
 -5.985  2.15561472e-09  4.64667482e-18  0.00000000e+00   17.910113
 -5.984  2.29077957e-09  5.24767106e-18  0.00000000e+00   17.904128
 -5.983  2.42602417e-09  5.88559327e-18  0.00000000e+00   17.898145
 -5.982  2.56135318e-09  6.56053011e-18  0.00000000e+00   17.892162
 -5.981  2.69677128e-09  7.27257536e-18  0.00000000e+00   17.886180
 -5.980  2.83228316e-09  8.02182792e-18  0.00000000e+00   17.880200
 -5.979  2.96789349e-09  8.80839179e-18  0.00000000e+00   17.874220
 -5.978  3.10360695e-09  9.63237612e-18  0.00000000e+00   17.868242
 -5.977  3.23942822e-09  1.04938952e-17  0.00000000e+00   17.862265
 -5.976  3.37536198e-09  1.13930685e-17  0.00000000e+00   17.856288
 -5.975  3.51141290e-09  1.23300206e-17  0.00000000e+00   17.850313
 -5.974  3.64758567e-09  1.33048812e-17  0.00000000e+00   17.844338
 -5.973  3.78388497e-09  1.43177855e-17  0.00000000e+00   17.838365
 -5.972  3.92031549e-09  1.53688735e-17  0.00000000e+00   17.832392
 -5.971  4.05688190e-09  1.64582907e-17  0.00000000e+00   17.826421
 -5.970  4.19358889e-09  1.75861878e-17  0.00000000e+00   17.820450
 -5.969  4.33044116e-09  1.87527206e-17  0.00000000e+00   17.814481
 -5.968  4.46744338e-09  1.99580504e-17  0.00000000e+00   17.808512
 -5.967  4.60460025e-09  2.12023435e-17  0.00000000e+00   17.802545
 -5.966  4.74191647e-09  2.24857718e-17  0.00000000e+00   17.796578
 -5.965  4.87939672e-09  2.38085124e-17  0.00000000e+00   17.790612
 -5.964  5.01704571e-09  2.51707477e-17  0.00000000e+00   17.784648
 -5.963  5.15486814e-09  2.65726655e-17  0.00000000e+00   17.778685
 -5.962  5.29286870e-09  2.80144591e-17  0.00000000e+00   17.772722
 -5.961  5.43105211e-09  2.94963270e-17  0.00000000e+00   17.766761
 -5.960  5.56942307e-09  3.10184733e-17  0.00000000e+00   17.760800
 -5.959  5.70798630e-09  3.25811076e-17  0.00000000e+00   17.754841
 -5.958  5.84674651e-09  3.41844447e-17  0.00000000e+00   17.748882
 -5.957  5.98570842e-09  3.58287053e-17  0.00000000e+00   17.742925
 -5.956  6.12487675e-09  3.75141152e-17  0.00000000e+00   17.736968
 -5.955  6.26425623e-09  3.92409061e-17  0.00000000e+00   17.731013
 -5.954  6.40385159e-09  4.10093152e-17  0.00000000e+00   17.725058
